Timestamp,NetworkTech,NetworkMode,Level,Qual,SNR,DL_bitrate,UL_bitrate,State,EVENT,source_file
2024.06.15_09.04.46,--,5G NSA,-82,-11.0,28.0,0,0,D,LOG START,mc8
2024.06.15_09.04.47,--,5G NSA,-85,-11.0,29.0,0,0,I,PERIODIC,mc8
2024.06.15_09.04.48,--,5G NSA,-87,-11.0,27.0,0,0,I,PERIODIC,mc8
2024.06.15_09.04.49,--,5G NSA,-93,-11.0,24.0,210,124,D,PERIODIC,mc8
2024.06.15_09.04.50,--,5G NSA,-88,-11.0,27.0,0,0,D,PERIODIC,mc8
2024.06.15_09.04.51,--,5G NSA,-81,-11.0,29.0,0,0,I,PERIODIC,mc8
2024.06.15_09.04.52,--,5G NSA,-72,-11.0,30.0,79,36,D,PERIODIC,mc8
2024.06.15_09.04.53,--,5G NSA,-81,-11.0,26.0,1,0,D,PERIODIC,mc8
2024.06.15_09.04.54,--,5G NSA,-86,-11.0,25.0,0,0,I,PERIODIC,mc8
2024.06.15_09.04.55,--,5G NSA,-79,-11.0,29.0,0,0,I,PERIODIC,mc8
2024.06.15_09.04.56,--,5G NSA,-80,-11.0,29.0,0,0,I,PERIODIC,mc8
2024.06.15_09.04.57,--,5G NSA,-81,-11.0,27.0,0,0,I,PERIODIC,mc8
2024.06.15_09.04.58,--,5G NSA,-74,-11.0,29.0,95,57,D,PERIODIC,mc8
2024.06.15_09.04.59,--,5G NSA,-78,-11.0,27.0,996,252,D,PERIODIC,mc8
2024.06.15_09.05.00,--,5G NSA,-83,-11.0,26.0,5119,472,D,PERIODIC,mc8
2024.06.15_09.05.01,--,5G NSA,-88,-11.0,26.0,2511,167,D,PERIODIC,mc8
2024.06.15_09.05.02,--,5G NSA,-90,-11.0,24.0,2505,213,D,PERIODIC,mc8
2024.06.15_09.05.03,--,5G NSA,-90,-11.0,25.0,2522,135,D,PERIODIC,mc8
2024.06.15_09.05.04,--,5G NSA,-84,-11.0,25.0,2533,165,D,PERIODIC,mc8
2024.06.15_09.05.05,--,5G NSA,-92,-11.0,23.0,2450,181,D,PERIODIC,mc8
2024.06.15_09.05.06,--,5G NSA,-84,-11.0,26.0,2579,131,D,PERIODIC,mc8
2024.06.15_09.05.07,--,5G NSA,-81,-11.0,28.0,2532,131,D,PERIODIC,mc8
2024.06.15_09.05.08,--,5G NSA,-86,-11.0,25.0,2499,139,D,PERIODIC,mc8
2024.06.15_09.05.09,--,5G NSA,-99,-11.0,14.0,2523,160,D,PERIODIC,mc8
2024.06.15_09.05.10,--,5G NSA,-94,-11.0,14.0,2535,132,D,PERIODIC,mc8
2024.06.15_09.05.11,--,5G NSA,-85,-11.0,25.0,2512,124,D,PERIODIC,mc8
2024.06.15_09.05.12,--,5G NSA,-87,-11.0,22.0,1245,67,D,PERIODIC,mc8
2024.06.15_09.05.13,--,5G NSA,-85,-11.0,21.0,1894,58,D,PERIODIC,mc8
2024.06.15_09.05.14,--,5G NSA,-79,-11.0,19.0,4364,129,D,PERIODIC,mc8
2024.06.15_09.05.15,--,5G NSA,-100,-15.0,-5.0,2476,136,D,PERIODIC,mc8
2024.06.15_09.05.16,--,5G NSA,-95,-15.0,-1.0,2533,139,D,PERIODIC,mc8
2024.06.15_09.05.17,--,5G NSA,-98,-17.0,-11.0,2512,142,D,PERIODIC,mc8
2024.06.15_09.05.18,--,5G NSA,-88,-11.0,9.0,2619,125,D,PERIODIC,mc8
2024.06.15_09.05.19,--,5G NSA,-82,-11.0,19.0,2534,132,D,PERIODIC,mc8
2024.06.15_09.05.20,--,5G NSA,-92,-11.0,9.0,2520,141,D,PERIODIC,mc8
2024.06.15_09.05.21,--,5G NSA,-86,-11.0,15.0,426,29,D,PERIODIC,mc8
2024.06.15_09.05.22,--,5G NSA,-88,-11.0,18.0,7,7,D,PERIODIC,mc8
2024.06.15_09.05.23,--,5G NSA,-84,-11.0,23.0,6,15,D,PERIODIC,mc8
2024.06.15_09.05.24,--,5G NSA,-87,-11.0,20.0,4758,88,D,PERIODIC,mc8
2024.06.15_09.05.25,--,5G NSA,-91,-11.0,17.0,3173,138,D,PERIODIC,mc8
2024.06.15_09.05.26,--,5G NSA,-104,-11.0,9.0,2509,153,D,PERIODIC,mc8
2024.06.15_09.05.28,--,5G NSA,-98,-11.0,10.0,2508,144,D,PERIODIC,mc8
2024.06.15_09.05.29,--,5G NSA,-95,-11.0,10.0,176,14,D,PERIODIC,mc8
2024.06.15_09.05.30,--,5G NSA,-86,-11.0,12.0,79,86,D,PERIODIC,mc8
2024.06.15_09.05.31,--,5G NSA,-91,-11.0,14.0,210,89,D,PERIODIC,mc8
2024.06.15_09.05.32,--,5G NSA,-98,-11.0,17.0,1705,45,D,PERIODIC,mc8
2024.06.15_09.05.33,--,5G NSA,-98,-11.0,14.0,4674,134,D,PERIODIC,mc8
2024.06.15_09.05.34,--,5G NSA,-98,-11.0,13.0,2459,141,D,PERIODIC,mc8
2024.06.15_09.05.35,--,5G NSA,-97,-11.0,13.0,2584,131,D,PERIODIC,mc8
2024.06.15_09.05.36,--,5G NSA,-90,-11.0,17.0,2504,126,D,PERIODIC,mc8
2024.06.15_09.05.37,--,5G NSA,-96,-11.0,14.0,2501,123,D,PERIODIC,mc8
2024.06.15_09.05.38,--,5G NSA,-92,-11.0,15.0,2560,134,D,PERIODIC,mc8
2024.06.15_09.05.39,--,5G NSA,-84,-11.0,15.0,1651,89,D,PERIODIC,mc8
2024.06.15_09.05.40,--,5G NSA,-79,-11.0,15.0,4,5,D,PERIODIC,mc8
2024.06.15_09.05.41,--,5G NSA,-77,-11.0,14.0,5,28,D,PERIODIC,mc8
2024.06.15_09.05.42,--,5G NSA,-78,-11.0,14.0,5159,101,D,PERIODIC,mc8
2024.06.15_09.05.43,--,5G NSA,-77,-11.0,15.0,2514,156,D,PERIODIC,mc8
2024.06.15_09.05.44,--,5G NSA,-77,-11.0,15.0,2509,141,D,PERIODIC,mc8
2024.06.15_09.05.45,--,5G NSA,-77,-11.0,14.0,2518,152,D,PERIODIC,mc8
2024.06.15_09.05.46,--,5G NSA,-93,-11.0,13.0,2520,126,D,PERIODIC,mc8
2024.06.15_09.05.47,--,5G NSA,-95,-11.0,16.0,1446,79,D,PERIODIC,mc8
2024.06.15_09.05.48,--,5G NSA,-89,-11.0,14.0,4,6,D,PERIODIC,mc8
2024.06.15_09.05.49,--,5G NSA,-85,-11.0,14.0,3841,100,D,PERIODIC,mc8
2024.06.15_09.05.50,--,5G NSA,-88,-11.0,13.0,480,22,D,PERIODIC,mc8
2024.06.15_09.05.51,--,5G NSA,-92,-11.0,14.0,3944,91,D,PERIODIC,mc8
2024.06.15_09.05.52,--,5G NSA,-95,-11.0,13.0,2536,128,D,PERIODIC,mc8
2024.06.15_09.05.53,--,5G NSA,-101,-11.0,9.0,2501,126,D,PERIODIC,mc8
2024.06.15_09.05.54,--,5G NSA,-101,-11.0,12.0,2466,135,D,PERIODIC,mc8
2024.06.15_09.05.55,--,5G NSA,-103,-11.0,10.0,2556,147,D,PERIODIC,mc8
2024.06.15_09.05.56,--,5G NSA,-99,-11.0,13.0,2095,120,D,PERIODIC,mc8
2024.06.15_09.05.57,--,5G NSA,-102,-11.0,10.0,4,6,D,PERIODIC,mc8
2024.06.15_09.05.58,--,5G NSA,-105,-11.0,9.0,4,6,D,PERIODIC,mc8
2024.06.15_09.05.59,--,5G NSA,-104,-11.0,9.0,4,6,D,PERIODIC,mc8
2024.06.15_09.06.00,--,5G NSA,-107,-11.0,10.0,4,7,D,PERIODIC,mc8
2024.06.15_09.06.01,--,5G NSA,-110,-11.0,7.0,4,17,D,PERIODIC,mc8
2024.06.15_09.06.02,--,5G NSA,-111,-11.0,7.0,4202,71,D,PERIODIC,mc8
2024.06.15_09.06.03,--,5G NSA,-111,-12.0,6.0,3259,106,D,PERIODIC,mc8
2024.06.15_09.06.04,--,5G NSA,-108,-11.0,8.0,2647,128,D,PERIODIC,mc8
2024.06.15_09.06.05,--,5G NSA,-111,-11.0,6.0,2524,128,D,PERIODIC,mc8
2024.06.15_09.06.06,--,5G NSA,-108,-11.0,9.0,2441,96,D,PERIODIC,mc8
2024.06.15_09.06.07,--,5G NSA,-109,-11.0,9.0,2562,122,D,PERIODIC,mc8
2024.06.15_09.06.08,--,5G NSA,-112,-11.0,6.0,2510,100,D,PERIODIC,mc8
2024.06.15_09.06.09,--,5G NSA,-102,-15.0,-4.0,4,5,D,PERIODIC,mc8
2024.06.15_09.06.10,--,5G NSA,-99,-16.0,-3.0,4,7,D,PERIODIC,mc8
2024.06.15_09.06.11,--,5G NSA,-100,-15.0,-2.0,1871,54,D,PERIODIC,mc8
