Timestamp,NetworkTech,NetworkMode,Level,Qual,SNR,DL_bitrate,UL_bitrate,State,EVENT,source_file
2024.06.13_18.45.12,--,5G NSA,-109,-12.0,0.0,10,10,D,LOG START,mcar
2024.06.13_18.45.12,--,5G NSA,-115,-13.0,0.0,62,112,D,PERIODIC,mcar
2024.06.13_18.45.13,--,5G NSA,-111,-13.0,0.0,4,37,D,PERIODIC,mcar
2024.06.13_18.45.14,--,5G NSA,-111,-13.0,0.0,4,8,D,PERIODIC,mcar
2024.06.13_18.45.15,--,5G NSA,-113,-12.0,1.0,0,0,D,PERIODIC,mcar
2024.06.13_18.45.16,--,5G NSA,-110,-13.0,0.0,0,0,I,PERIODIC,mcar
2024.06.13_18.45.17,--,5G NSA,-116,-13.0,0.0,0,0,I,PERIODIC,mcar
2024.06.13_18.45.18,--,5G NSA,-113,-13.0,-2.0,0,0,I,PERIODIC,mcar
2024.06.13_18.45.19,--,5G NSA,-120,-14.0,-4.0,0,0,I,PERIODIC,mcar
2024.06.13_18.45.20,--,LTE,-340,-20.0,-5.0,0,0,I,PERIODIC,mcar
2024.06.13_18.45.21,--,5G NSA,-116,-12.0,-5.0,0,0,I,PERIODIC,mcar
2024.06.13_18.45.22,--,LTE,-340,-20.0,-12.0,0,0,I,PERIODIC,mcar
2024.06.13_18.45.23,--,LTE,-340,-20.0,6.0,3,20,D,PERIODIC,mcar
2024.06.13_18.45.24,--,5G NSA,-126,-18.0,6.0,206,61,D,PERIODIC,mcar
2024.06.13_18.45.25,--,5G NSA,-98,-11.0,11.0,4178,153,D,PERIODIC,mcar
2024.06.13_18.45.26,--,5G NSA,-101,-11.0,9.0,2495,126,D,PERIODIC,mcar
2024.06.13_18.45.27,--,5G NSA,-105,-11.0,8.0,2518,146,D,PERIODIC,mcar
2024.06.13_18.45.28,--,5G NSA,-103,-11.0,13.0,1086,277,D,PERIODIC,mcar
2024.06.13_18.45.29,--,5G NSA,-104,-11.0,13.0,1008,366,D,PERIODIC,mcar
2024.06.13_18.45.30,--,5G NSA,-105,-11.0,11.0,4010,133,D,PERIODIC,mcar
2024.06.13_18.45.31,--,5G NSA,-107,-11.0,6.0,4060,158,D,PERIODIC,mcar
2024.06.13_18.45.32,--,5G NSA,-107,-11.0,6.0,2589,169,D,PERIODIC,mcar
2024.06.13_18.45.33,--,5G NSA,-110,-12.0,2.0,2503,147,D,PERIODIC,mcar
