Timestamp,NetworkTech,NetworkMode,Level,Qual,SNR,DL_bitrate,UL_bitrate,State,EVENT,source_file
2024.06.13_18.51.37,--,5G NSA,-107,-11.0,15.0,0,0,I,LOG START,mcar2
2024.06.13_18.51.38,--,5G NSA,-106,-11.0,11.0,0,0,I,PERIODIC,mcar2
2024.06.13_18.51.39,--,5G NSA,-102,-11.0,15.0,0,8,D,PERIODIC,mcar2
2024.06.13_18.51.40,--,5G NSA,-109,-11.0,4.0,160,117,D,PERIODIC,mcar2
2024.06.13_18.51.41,--,5G NSA,-111,-12.0,7.0,27,30,D,PERIODIC,mcar2
2024.06.13_18.51.42,--,5G NSA,-111,-11.0,6.0,0,0,I,PERIODIC,mcar2
2024.06.13_18.51.43,--,5G NSA,-112,-12.0,4.0,4,14,D,PERIODIC,mcar2
2024.06.13_18.51.44,--,5G NSA,-114,-12.0,2.0,58,44,D,PERIODIC,mcar2
2024.06.13_18.51.45,--,5G NSA,-113,-12.0,5.0,5,1,D,PERIODIC,mcar2
2024.06.13_18.51.46,--,5G NSA,-114,-12.0,5.0,0,0,I,PERIODIC,mcar2
2024.06.13_18.51.47,--,5G NSA,-113,-12.0,5.0,5,7,D,PERIODIC,mcar2
2024.06.13_18.51.48,--,5G NSA,-113,-11.0,8.0,256,124,D,PERIODIC,mcar2
2024.06.13_18.51.49,--,5G NSA,-116,-11.0,8.0,393,42,D,PERIODIC,mcar2
2024.06.13_18.51.50,--,5G NSA,-116,-11.0,7.0,811,434,D,PERIODIC,mcar2
2024.06.13_18.51.51,--,5G NSA,-113,-11.0,10.0,4315,199,D,PERIODIC,mcar2
2024.06.13_18.51.52,--,5G NSA,-113,-11.0,10.0,2462,155,D,PERIODIC,mcar2
2024.06.13_18.51.53,--,5G NSA,-109,-11.0,12.0,2579,102,D,PERIODIC,mcar2
2024.06.13_18.51.54,--,5G NSA,-112,-11.0,11.0,2313,73,D,PERIODIC,mcar2
2024.06.13_18.51.55,--,5G NSA,-110,-11.0,7.0,2434,92,D,PERIODIC,mcar2
2024.06.13_18.51.56,--,5G NSA,-110,-11.0,11.0,2848,179,D,PERIODIC,mcar2
2024.06.13_18.51.57,--,5G NSA,-116,-11.0,6.0,2395,104,D,PERIODIC,mcar2
2024.06.13_18.51.58,--,5G NSA,-104,-11.0,14.0,2276,56,D,PERIODIC,mcar2
2024.06.13_18.51.59,--,5G NSA,-104,-11.0,16.0,2948,125,D,PERIODIC,mcar2
2024.06.13_18.52.00,--,5G NSA,-105,-11.0,18.0,2535,110,D,PERIODIC,mcar2
2024.06.13_18.52.01,--,5G NSA,-103,-11.0,18.0,2211,78,D,PERIODIC,mcar2
2024.06.13_18.52.02,--,5G NSA,-103,-11.0,19.0,2809,120,D,PERIODIC,mcar2
2024.06.13_18.52.03,--,5G NSA,-106,-11.0,18.0,2573,95,D,PERIODIC,mcar2
2024.06.13_18.52.04,--,5G NSA,-109,-11.0,17.0,2500,102,D,PERIODIC,mcar2
2024.06.13_18.52.05,--,5G NSA,-106,-11.0,16.0,2522,112,D,PERIODIC,mcar2
2024.06.13_18.52.06,--,5G NSA,-104,-11.0,16.0,2484,73,D,PERIODIC,mcar2
2024.06.13_18.52.07,--,5G NSA,-98,-11.0,18.0,2043,87,D,PERIODIC,mcar2
2024.06.13_18.52.08,--,5G NSA,-100,-11.0,18.0,3104,90,D,PERIODIC,mcar2
