Video,Quality,Video Bytes Downloaded,Loaded Percentage,Eid,Date,Time
9ZfN87gSjvI,hd720,0.01621047967,1.6,mc4,2024-06-14,19:13:50
9ZfN87gSjvI,hd720,0.03677874056,3.7,mc4,2024-06-14,19:13:51
9ZfN87gSjvI,hd720,0.04423089632,4.4,mc4,2024-06-14,19:13:52
9ZfN87gSjvI,hd720,0.04423089632,4.4,mc4,2024-06-14,19:13:53
9ZfN87gSjvI,hd1080,0.06122274443,6.1,mc4,2024-06-14,19:13:54
9ZfN87gSjvI,hd1080,0.06122274443,6.1,mc4,2024-06-14,19:13:55
9ZfN87gSjvI,hd1080,0.06122274443,6.1,mc4,2024-06-14,19:13:56
9ZfN87gSjvI,hd1080,0.06122274443,6.1,mc4,2024-06-14,19:13:57
9ZfN87gSjvI,hd1080,0.06122274443,6.1,mc4,2024-06-14,19:13:58
9ZfN87gSjvI,hd1080,0.06122274443,6.1,mc4,2024-06-14,19:13:59
9ZfN87gSjvI,hd1080,0.06122274443,6.1,mc4,2024-06-14,19:14:00
9ZfN87gSjvI,hd1080,0.06122274443,6.1,mc4,2024-06-14,19:14:01
9ZfN87gSjvI,hd1080,0.06122274443,6.1,mc4,2024-06-14,19:14:02
9ZfN87gSjvI,hd1080,0.06122274443,6.1,mc4,2024-06-14,19:14:03
9ZfN87gSjvI,hd1080,0.09089142089,9.1,mc4,2024-06-14,19:14:04
9ZfN87gSjvI,large,0.1121982888,11.2,mc4,2024-06-14,19:14:05
9ZfN87gSjvI,large,0.1121982888,11.2,mc4,2024-06-14,19:14:06
9ZfN87gSjvI,large,0.1121982888,11.2,mc4,2024-06-14,19:14:07
9ZfN87gSjvI,large,0.1121982888,11.2,mc4,2024-06-14,19:14:08
9ZfN87gSjvI,large,0.1121982888,11.2,mc4,2024-06-14,19:14:09
9ZfN87gSjvI,large,0.1166260433,11.7,mc4,2024-06-14,19:14:10
9ZfN87gSjvI,large,0.1555000952,15.6,mc4,2024-06-14,19:14:11
9ZfN87gSjvI,large,0.2131114402,21.3,mc4,2024-06-14,19:14:12
9ZfN87gSjvI,large,0.2131114402,21.3,mc4,2024-06-14,19:14:13
9ZfN87gSjvI,large,0.2131114402,21.3,mc4,2024-06-14,19:14:14
9ZfN87gSjvI,large,0.2131114402,21.3,mc4,2024-06-14,19:14:15
9ZfN87gSjvI,large,0.2131114402,21.3,mc4,2024-06-14,19:14:16
9ZfN87gSjvI,large,0.2131114402,21.3,mc4,2024-06-14,19:14:17
9ZfN87gSjvI,large,0.2131114402,21.3,mc4,2024-06-14,19:14:18
9ZfN87gSjvI,large,0.2131114402,21.3,mc4,2024-06-14,19:14:19
9ZfN87gSjvI,large,0.2131114402,21.3,mc4,2024-06-14,19:14:20
9ZfN87gSjvI,large,0.2131114402,21.3,mc4,2024-06-14,19:14:21
9ZfN87gSjvI,large,0.2131114402,21.3,mc4,2024-06-14,19:14:22
9ZfN87gSjvI,large,0.2131114402,21.3,mc4,2024-06-14,19:14:23
9ZfN87gSjvI,large,0.2332481992,23.3,mc4,2024-06-14,19:14:24
9ZfN87gSjvI,large,0.3109963031,31.1,mc4,2024-06-14,19:14:25
9ZfN87gSjvI,large,0.427618459,42.8,mc4,2024-06-14,19:14:26
9ZfN87gSjvI,large,0.427618459,42.8,mc4,2024-06-14,19:14:27
9ZfN87gSjvI,large,0.427618459,42.8,mc4,2024-06-14,19:14:30
9ZfN87gSjvI,large,0.427618459,42.8,mc4,2024-06-14,19:14:29
9ZfN87gSjvI,large,0.427618459,42.8,mc4,2024-06-14,19:14:31
9ZfN87gSjvI,large,0.427618459,42.8,mc4,2024-06-14,19:14:28
9ZfN87gSjvI,large,0.427618459,42.8,mc4,2024-06-14,19:14:32
9ZfN87gSjvI,large,0.427618459,42.8,mc4,2024-06-14,19:14:33
9ZfN87gSjvI,large,0.427618459,42.8,mc4,2024-06-14,19:14:34
9ZfN87gSjvI,large,0.427618459,42.8,mc4,2024-06-14,19:14:35
9ZfN87gSjvI,large,0.427618459,42.8,mc4,2024-06-14,19:14:36
9ZfN87gSjvI,large,0.427618459,42.8,mc4,2024-06-14,19:14:37
9ZfN87gSjvI,large,0.427618459,42.8,mc4,2024-06-14,19:14:38
9ZfN87gSjvI,large,0.4696762958,47.0,mc4,2024-06-14,19:14:39
9ZfN87gSjvI,large,0.4696762958,47.0,mc4,2024-06-14,19:14:40
