Video,Quality,Video Bytes Downloaded,Loaded Percentage,Eid,Date,Time
9jrP7460a4o,large,0.0,0.0,mcar,2024-06-14,18:45:30
9jrP7460a4o,large,0.0209146174,2.1,mcar,2024-06-14,18:45:31
9jrP7460a4o,large,0.0209146174,2.1,mcar,2024-06-14,18:45:32
9jrP7460a4o,large,0.0209146174,2.1,mcar,2024-06-14,18:45:33
9jrP7460a4o,large,0.026940807,2.7,mcar,2024-06-14,18:45:34
9jrP7460a4o,large,0.05056572054,5.1,mcar,2024-06-14,18:45:35
9jrP7460a4o,large,0.05056572054,5.1,mcar,2024-06-14,18:45:36
9jrP7460a4o,large,0.05970262856,6.0,mcar,2024-06-14,18:45:37
9jrP7460a4o,large,0.05970262856,6.0,mcar,2024-06-14,18:45:38
9jrP7460a4o,large,0.05970262856,6.0,mcar,2024-06-14,18:45:39
9jrP7460a4o,large,0.05970262856,6.0,mcar,2024-06-14,18:45:40
9jrP7460a4o,large,0.1186044126,11.9,mcar,2024-06-14,18:45:41
9jrP7460a4o,large,0.1186044126,11.9,mcar,2024-06-14,18:45:42
9jrP7460a4o,large,0.1186044126,11.9,mcar,2024-06-14,18:45:43
9jrP7460a4o,large,0.1186044126,11.9,mcar,2024-06-14,18:45:44
9jrP7460a4o,large,0.1415045949,14.2,mcar,2024-06-14,18:45:45
9jrP7460a4o,large,0.1526237586,15.3,mcar,2024-06-14,18:45:46
9jrP7460a4o,large,0.1526237586,15.3,mcar,2024-06-14,18:45:47
9jrP7460a4o,large,0.1526237586,15.3,mcar,2024-06-14,18:45:48
9jrP7460a4o,large,0.1654670545,16.5,mcar,2024-06-14,18:45:49
9jrP7460a4o,large,0.1654670545,16.5,mcar,2024-06-14,18:45:50
9jrP7460a4o,large,0.1654670545,16.5,mcar,2024-06-14,18:45:51
9jrP7460a4o,large,0.1694348751,16.9,mcar,2024-06-14,18:45:52
9jrP7460a4o,large,0.1694348751,16.9,mcar,2024-06-14,18:45:53
9jrP7460a4o,large,0.1694348751,16.9,mcar,2024-06-14,18:45:54
9jrP7460a4o,large,0.1694348751,16.9,mcar,2024-06-14,18:45:55
9jrP7460a4o,large,0.1694348751,16.9,mcar,2024-06-14,18:45:56
9jrP7460a4o,large,0.1694348751,16.9,mcar,2024-06-14,18:45:58
9jrP7460a4o,large,0.1694348751,16.9,mcar,2024-06-14,18:45:59
9jrP7460a4o,large,0.1694348751,16.9,mcar,2024-06-14,18:46:00
9jrP7460a4o,large,0.1694348751,16.9,mcar,2024-06-14,18:45:57
9jrP7460a4o,large,0.1694348751,16.9,mcar,2024-06-14,18:46:02
9jrP7460a4o,large,0.1694348751,16.9,mcar,2024-06-14,18:46:01
9jrP7460a4o,large,0.1694348751,16.9,mcar,2024-06-14,18:46:03
9jrP7460a4o,large,0.1694348751,16.9,mcar,2024-06-14,18:46:05
9jrP7460a4o,large,0.1694348751,16.9,mcar,2024-06-14,18:46:04
9jrP7460a4o,large,0.1694348751,16.9,mcar,2024-06-14,18:46:06
9jrP7460a4o,large,0.1694348751,16.9,mcar,2024-06-14,18:46:07
9jrP7460a4o,large,0.1694348751,16.9,mcar,2024-06-14,18:46:08
9jrP7460a4o,medium,0.1694348751,16.9,mcar,2024-06-14,18:46:10
9jrP7460a4o,large,0.1694348751,16.9,mcar,2024-06-14,18:46:09
9jrP7460a4o,medium,0.1694348751,16.9,mcar,2024-06-14,18:46:11
9jrP7460a4o,medium,0.1694348751,16.9,mcar,2024-06-14,18:46:12
9jrP7460a4o,medium,0.1694348751,16.9,mcar,2024-06-14,18:46:13
9jrP7460a4o,medium,0.1694348751,16.9,mcar,2024-06-14,18:46:14
9jrP7460a4o,medium,0.1694348751,16.9,mcar,2024-06-14,18:46:15
9jrP7460a4o,medium,0.1694348751,16.9,mcar,2024-06-14,18:46:16
9jrP7460a4o,medium,0.1694348751,16.9,mcar,2024-06-14,18:46:17
9jrP7460a4o,medium,0.1694348751,16.9,mcar,2024-06-14,18:46:18
9jrP7460a4o,medium,0.1694348751,16.9,mcar,2024-06-14,18:46:19
9jrP7460a4o,medium,0.172876521,17.3,mcar,2024-06-14,18:46:20
9jrP7460a4o,medium,0.17406786,17.4,mcar,2024-06-14,18:46:21
9jrP7460a4o,medium,0.1798921838,18.0,mcar,2024-06-14,18:46:22
9jrP7460a4o,medium,0.1798921838,18.0,mcar,2024-06-14,18:46:23
9jrP7460a4o,medium,0.1814806358,18.1,mcar,2024-06-14,18:46:24
9jrP7460a4o,medium,0.1826719747,18.3,mcar,2024-06-14,18:46:25
9jrP7460a4o,medium,0.1845251687,18.5,mcar,2024-06-14,18:46:26
9jrP7460a4o,medium,,0.0,mcar,2024-06-14,18:46:27
9jrP7460a4o,medium,,0.0,mcar,2024-06-14,18:46:28
9jrP7460a4o,medium,,0.0,mcar,2024-06-14,18:46:29
9jrP7460a4o,medium,,0.0,mcar,2024-06-14,18:46:30
9jrP7460a4o,medium,,0.0,mcar,2024-06-14,18:46:31
9jrP7460a4o,medium,,0.0,mcar,2024-06-14,18:46:32
9jrP7460a4o,tiny,0.2168236918,21.7,mcar,2024-06-14,18:46:33
9jrP7460a4o,tiny,0.2354913115,23.5,mcar,2024-06-14,18:46:34
9jrP7460a4o,tiny,0.2354913115,23.5,mcar,2024-06-14,18:46:35
9jrP7460a4o,small,0.2880392877,28.8,mcar,2024-06-14,18:46:36
9jrP7460a4o,small,0.2880392877,28.8,mcar,2024-06-14,18:46:37
9jrP7460a4o,small,0.2880392877,28.8,mcar,2024-06-14,18:46:38
