Video,Quality,Video Bytes Downloaded,Loaded Percentage,Eid,Date,Time
Baur2Ypgd60,hd1080,0.02127929502,2.1,mcar2,2024-06-14,18:51:51
Baur2Ypgd60,hd1080,0.02127929502,2.1,mcar2,2024-06-14,18:51:52
Baur2Ypgd60,hd1080,0.02718831273,2.7,mcar2,2024-06-14,18:51:53
Baur2Ypgd60,hd1080,0.03907466051,3.9,mcar2,2024-06-14,18:51:54
Baur2Ypgd60,hd1080,0.03907466051,3.9,mcar2,2024-06-14,18:51:55
Baur2Ypgd60,hd1080,0.03907466051,3.9,mcar2,2024-06-14,18:51:56
Baur2Ypgd60,hd1080,0.04933127095,4.9,mcar2,2024-06-14,18:51:57
Baur2Ypgd60,hd1080,0.04933127095,4.9,mcar2,2024-06-14,18:51:58
Baur2Ypgd60,hd1080,0.05914385116,5.9,mcar2,2024-06-14,18:51:59
Baur2Ypgd60,hd1080,0.07586573697,7.6,mcar2,2024-06-14,18:52:00
Baur2Ypgd60,hd1080,0.07586573697,7.6,mcar2,2024-06-14,18:52:01
Baur2Ypgd60,large,0.08417056616,8.4,mcar2,2024-06-14,18:52:02
Baur2Ypgd60,large,0.08417056616,8.4,mcar2,2024-06-14,18:52:03
Baur2Ypgd60,large,0.1148672057,11.5,mcar2,2024-06-14,18:52:04
Baur2Ypgd60,large,0.1165750143,11.7,mcar2,2024-06-14,18:52:05
Baur2Ypgd60,large,0.1165750143,11.7,mcar2,2024-06-14,18:52:06
Baur2Ypgd60,large,0.1165750143,11.7,mcar2,2024-06-14,18:52:07
Baur2Ypgd60,large,0.1165750143,11.7,mcar2,2024-06-14,18:52:08
Baur2Ypgd60,large,0.1810325899,18.1,mcar2,2024-06-14,18:52:09
Baur2Ypgd60,large,0.1877223201,18.8,mcar2,2024-06-14,18:52:10
Baur2Ypgd60,large,0.1877223201,18.8,mcar2,2024-06-14,18:52:11
Baur2Ypgd60,large,0.1877223201,18.8,mcar2,2024-06-14,18:52:12
Baur2Ypgd60,large,0.1877223201,18.8,mcar2,2024-06-14,18:52:13
Baur2Ypgd60,large,0.1877223201,18.8,mcar2,2024-06-14,18:52:14
Baur2Ypgd60,large,0.1877223201,18.8,mcar2,2024-06-14,18:52:15
Baur2Ypgd60,large,0.1877223201,18.8,mcar2,2024-06-14,18:52:16
Baur2Ypgd60,large,0.1877223201,18.8,mcar2,2024-06-14,18:52:17
Baur2Ypgd60,large,0.243977535,24.4,mcar2,2024-06-14,18:52:18
Baur2Ypgd60,large,0.333110505,33.3,mcar2,2024-06-14,18:52:19
Baur2Ypgd60,large,0.333110505,33.3,mcar2,2024-06-14,18:52:20
Baur2Ypgd60,large,0.333110505,33.3,mcar2,2024-06-14,18:52:21
Baur2Ypgd60,large,0.333110505,33.3,mcar2,2024-06-14,18:52:22
Baur2Ypgd60,large,0.333110505,33.3,mcar2,2024-06-14,18:52:23
Baur2Ypgd60,large,0.333110505,33.3,mcar2,2024-06-14,18:52:24
Baur2Ypgd60,large,0.333110505,33.3,mcar2,2024-06-14,18:52:25
Baur2Ypgd60,large,0.333110505,33.3,mcar2,2024-06-14,18:52:26
Baur2Ypgd60,large,0.333110505,33.3,mcar2,2024-06-14,18:52:27
Baur2Ypgd60,large,0.333110505,33.3,mcar2,2024-06-14,18:52:28
Baur2Ypgd60,large,0.333110505,33.3,mcar2,2024-06-14,18:52:29
Baur2Ypgd60,large,0.333110505,33.3,mcar2,2024-06-14,18:52:30
Baur2Ypgd60,large,0.333110505,33.3,mcar2,2024-06-14,18:52:31
Baur2Ypgd60,large,0.3415665972,34.2,mcar2,2024-06-14,18:52:32
Baur2Ypgd60,large,0.4879501905,48.8,mcar2,2024-06-14,18:52:33
Baur2Ypgd60,large,0.4879501905,48.8,mcar2,2024-06-14,18:52:34
Baur2Ypgd60,large,0.6033785333,60.3,mcar2,2024-06-14,18:52:35
Baur2Ypgd60,large,0.6033785333,60.3,mcar2,2024-06-14,18:52:36
Baur2Ypgd60,large,0.6033785333,60.3,mcar2,2024-06-14,18:52:37
Baur2Ypgd60,large,0.6033785333,60.3,mcar2,2024-06-14,18:52:38
Baur2Ypgd60,large,0.6033785333,60.3,mcar2,2024-06-14,18:52:39
Baur2Ypgd60,large,0.6033785333,60.3,mcar2,2024-06-14,18:52:40
Baur2Ypgd60,large,0.6033785333,60.3,mcar2,2024-06-14,18:52:41
